ID,User Story,Requirements,Manual Scenario
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Edit/New Version screen. This should help users to preview the animation while editing
2. As a user on the Edit/New Version screen
3. The preview should show the GIF or Lottie File converted MP4.
4. Edit uses PDFTron 
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the Review Request screen screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And navigate to the workflow page
  And I click on Review Request 
  Then The file should have been converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay"
195,"PB - As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ","1. Add a MCP setting “Smart Page: Widgets combining Block“ under Development Use only for Epic:
2.Add a MCP setting “Smart Page: Image Resizing“ under Development Use only
3. Add a MCP setting “Smart Pages - Page Templates (development use only)“ under Development Use only
4.Add a MCP setting “Smart Page: Page Grouping“ under Development Use only","Scenario: Internal user can configure MCP settings for Smart Page features  
    Given the internal user has access to the MCP settings under ""Development Use only"" for the Epic  
    When the user views the MCP settings page  
    Then the following settings should be available:  
      | Setting Name                            | Description                                        |
      | ""Smart Page: Widgets combining Block""    | Enables or disables the combining of widgets with blocks on smart pages |  
      | ""Smart Page: Image Resizing""             | Enables or disables image resizing functionality on smart pages |  
      | ""Smart Pages - Page Templates""           | Enables or disables the use of page templates in smart pages |  
      | ""Smart Page: Page Grouping""              | Enables or disables page grouping functionality on smart pages |  

    When the user toggles any of these settings,  
    Then the corresponding feature for Smart Pages should be enabled or disabled as per the setting's state  
    And the changes should only apply in the development environment for testing and validation purposes  
"
407,Record File Grouped Requests added to Group tab,"1. Grouped Record File requests are to be listed in the Grouped tab in V3 Approval List
2. This may cause the Grouped Tab to display for users that otherwise may not have seen it - ie, a Requester who never previously saw the Grouped Tab but requests their first Grouped Record File request will now see this Tab in the V3 Approvals List.","Scenario: Displaying Grouped Record File Requests in the Grouped Tab of the V3 Approval List
Given a user has submitted one or more Grouped Record File requests
When the user navigates to the V3 Approval List
Then the ""Grouped"" tab should be visible
And the user's Grouped Record File requests should be listed under the ""Grouped"" tab
And if the user has not previously seen the ""Grouped"" tab, it should now be displayed due to the presence of their Grouped Record File requests"
85,"As a User, I want Close or cancel handling","1. If close or cancel is selected from Edit Template page, user is returned to the location they selected the Edit action from 
","Scenario: Returning to Previous Location After Cancelling Edit Template
Given a user is on the Edit Template page
When they click Close or Cancel
Then they are returned to the location where they originally selected the Edit action from"
372,"PB - As a User, I want to re-order pages within the same parent/root via Nav - FE integration","1. Be able to re-order Pages via drag-and-drop from Nav Panel during editing
2. Sub-pages will be moved all together with Page if it contains any
3. After drag-and-drop of Pages, Sub-pages will be *collapsed* under Page from Nav Panel","Scenario: Reordering Pages via Drag-and-Drop in Navigation Panel during Editing
Given the user is in editing mode within the Page Builder
And the Navigation Panel displays a list of pages, some of which contain sub-pages
When the user drags a page to a new position within the Navigation Panel
Then the system moves the selected page to the new position
And if the moved page contains sub-pages, all associated sub-pages move along with it
And after the drag-and-drop action, any sub-pages under the moved page are collapsed in the Navigation Panel"
389,"PB - As an internal User, I want to set Page limits via MCP settings","
1. Be able to set Page limits on MCP control panel for client sites","Scenario: Set Page Limits for Client Sites in the MCP Control Panel
Given an administrator is logged into the MCP (Management Control Panel)
When the administrator navigates to the settings section for a specific client site
And the administrator sets a page limit for that client site
Then the system should enforce the specified page limit for the client site
And attempts to create additional pages beyond this limit should be restricted
And an appropriate notification should be displayed to inform users of the page limit restriction"
496,"CT - As a User, on Add Revision page I should be able to see my Threads and switch between them but not Manage them.","1. User should be able to switch between Threads on Add Revision page
2.User should NOT be able to manage Threads or create new Thread on Add Revision page
3. User should see all comments of the selected Threads","Scenario: Switching Between Threads on Add Revision Page Without Managing or Creating New Threads
Given the user is on the Add Revision page
When they attempt to switch between different Threads
Then they should be able to select and view different Threads
And when a Thread is selected
Then all comments within that Thread should be displayed
But the user should not have the ability to manage existing Threads
And the user should not be able to create a new Thread on the Add Revision page"
31,"As a user, I want on close of Single view redirect to Grouped Approval Review page (don't clear out single page response values)","1. When a user has entered any response info on a single response page and then returns to the List view, those details (comment/response/approved until values) are retained as long as the overall Grouped Review Page is open (As soon as user closes the overall overlay we no longer store this info)
2. This means, if user re-opens that single view, their response details remain ","Scenario: Retaining single view response details on close
 Given I have opened a single response page within a Grouped Approval Review
 And I have entered response information on the single response page
 When I close the single response page and return to the Grouped Approval Review list view
 Then the response details I entered on the single response page should be retained
 And if I reopen the same single response page, the previously entered details should still be present"
317,"PB - (Misc) As a User, I want to set auto-play as default or not for Video Widgets when viewing a Smart Page","1. Be able to set added Video Widget auto-playing on Viewing via the button as per 
2.By default, the auto-play button is unchecked, meaning Videos won’t be auto-played on viewing by default","Scenario: Configuring Auto-Play for Video Widget
Given the user has added a Video Widget
When they open the Video Widget settings
Then an Auto-Play button should be available
And Given the Video Widget is newly added
When the user has not changed the auto-play setting
Then the auto-play button should be unchecked by default
And the video should not auto-play when viewed
And Given the user enables the auto-play button
When they view the Video Widget
Then the video should start playing automatically"
409,Publish Resource Grouped Requests added to Group tab,"1. Grouped Resource Publish requests are to be listed in the Grouped tab in V3 Approval List
2. This may cause the Grouped Tab to display for users that otherwise may not have seen it - ie, a Requester who never previously saw the Grouped Tab but requests their first Grouped Resource Publish request will now see this Tab in the V3 Approvals List.","Scenario: Displaying Grouped Resource Publish Requests in the Grouped Tab of the V3 Approval List
Given a user has submitted their first Grouped Resource Publish request
When the user navigates to the V3 Approval List
Then the ""Grouped"" tab becomes visible to the user
And the user's Grouped Resource Publish request is listed under the ""Grouped"" tab"
491,"[GDA] - As a user, I want to be able to Update my Response in single review page 1/2: Core handling","1. When a Reviewer responds to a request and it remains in Pending (ie, still requires other approvals, or requires all reviewers to respond) then currently in single requests they can Update their response to that request. Users will likewise be able to do so via the single view from Grouped Review page
2. Update Response button displays in ‘My Response’ section as it does currently","Scenario: Allow Reviewers to Update Response for Pending Requests in Single View from Grouped Review Page
Given a Reviewer has responded to a request
And the request remains in Pending status because it requires additional approvals or responses from other reviewers
When the Reviewer navigates to the single view from the Grouped Review page
Then they should be able to update their response to that request
And the Update Response button should be displayed in the ‘My Response’ section, just as it does in the current single request view"
492,"[GDA] - As a user, I want to be able to click Submit & Next (single view) and have validation checks occurs","1. On Submit of single request, the below validation checks occur:
2. If comment is mandatory
3. If response is unfilled","Scenario: Validate Mandatory Comment and Response Before Submitting a Single Request
Given the user is submitting a single request response
When they click Submit
Then the system should check if a comment is mandatory
And if the comment field is empty, display a validation message
And the system should check if a response has been provided
And if the response is unfilled, display a validation message preventing submission"
281,"PB - As a User, I want the status of background Image added via Resource Lookup to be linked with Resource module","1. Be able to *link the status* of the the background Image *with the derived Image resources in Resource Module* if it has been added as *Page* or *Section* background in Page Builder via Resource Lookup
","Scenario: Link Background Image Status with Derived Image Resources in Resource Module
Given a background image has been added as a Page or Section background in Page Builder via Resource Lookup
When the background image exists in the Resource Module
Then the status of the background image should be linked with the derived image resources in the Resource Module
And any changes in the background image status (e.g., active, archived, or deleted) should be reflected in the linked image resources"
357,"Related (V3) - Permission Handling, Updates, and other core existing logic (F.E.) - [1 of 4: Resource Permissions]","1. Instead of just re-writing existing permission logic, changes will need to be made in the re-write to help restore originally intended logic. The below calls out all logic scenarios with the required updates specifically noted with (!). *These should only apply for users using the V3 Related functionality (so tied to the development MCP setting).* 
","Scenario: Restore intended permission logic for V3 Related functionality with development MCP setting
Given the development MCP setting for V3 Related functionality is enabled
And a user with specific permissions is logged into the system
When the user attempts to perform an action related to the V3 Related functionality
Then the system applies the updated permission logic as per the originally intended design
And the user's action is allowed or denied based on these permissions
And the system logs this permission check for auditing purposes"
77,"As a User, I want to Restricted Actions for Template Resources [Database Locations]","1. When a Resource is a created Template or a Master Template, the below Resource Actions +do not display+ for any user: *Download* , Block from Single and Bulk Download, *Alias* ,Block from Single and Bulk Create Alias
2.For A/C, below Resource actions +are+ still supported: *Edit*, *Email Internal Share Link*,  *Move*, *Check in / Out*, *Usage*, *Related*, *Feedback* (when enabled)
","Scenario: Restricting and Allowing Specific Resource Actions for img.ly Templates and Master Templates
Given a resource is created as an img.ly Template or a Master Template
When a user views the available Resource Actions
Then the following actions do not display:

Download
Block from Single and Bulk Download
Alias
Block from Single and Bulk Create Alias
And the following actions are still supported for A/C:

Edit
Email Internal Share Link
Move
Check in / Out
Usage
Related
Feedback (when enabled)"
462,"2FA: option to select between SMS, Email, or both as options to receive the code (option set at the client level, not configurable per user)","1. Under *Admin > Settings > Login and Security*, below the existing *Two-Factor Authentication (2FA)* settings (there can be up to 2 based on conditions), new +mandatory+ checkbox field setting that appears only when User Setting or Global options are enabled: *2FA Type:*, SMS","Scenario: Display Mandatory '2FA Type: SMS' Checkbox Based on Conditions
Given the user is in Admin > Settings > Login and Security
And there are existing Two-Factor Authentication (2FA) settings (up to 2 based on conditions)
When the User Setting or Global option is enabled
Then a new mandatory checkbox field labeled ""2FA Type: SMS"" should appear below the existing 2FA settings
And it should only be visible when one of these options is enabled"
498,As a user I want to filter by number of revisions for Resource Publish Requests in Workflow Request Stats,"1. When the below are selected then new data condition option ‘Markup Comments Revisions’ is available for Workflow +Requests+:
2. ‘All Workflows’ is selected","Scenario: Display ‘Markup Comments Revisions’ Data Condition When ‘All Workflows’ is Selected
Given the user is on the Workflow Requests page
When they select ‘All Workflows’ from the available options
Then a new data condition option ‘Markup Comments Revisions’ should be available for selection"
212,"PB - As a User, I want to report on Resource downloaded (Preview) separately than added in Smart Page for Resource Module (Usage)","1. Be able to track Resource usage reporting and User’s usage reporting - Resource download action that happens in Smart Pages for previously uploaded Resource (Preview type of Resource, aka “Good“ quality) via Resource Lookup
","Scenario: Track Resource download (Preview) separately in Smart Page usage reporting  
    Given the user is in the Smart Page module  
    And the user performs a Resource lookup in the Smart Page  
    When the user downloads a resource in Preview quality  
    Then the Resource download action should be tracked separately in the usage report  
    And the action should be recorded for the previously uploaded Resource (Preview type)  
    And the action should be reported under the Resource Module (Usage) for Smart Pages  "
102,"As a User, I want to set Primary Font Size in Admin and reflect to page title font size in Page Nav (both left & right side)","1.  Be able to set Admin > Template > Primary Font Size and it applies to page title font size in Page Nav 
2. This should be applied whenever I’m viewing the Page Nav, including within the builder (on the right) and when viewing the Page (on the left)
3. Primary Font Size value range: 12 - 16
4. Whatever the primary font size of the platform is, this should be reflected in the Page nav.
5. If the size changes that should also be reflected in the page nav","Scenario: User sets Primary Font Size in Admin and sees it reflected in Page Nav  
    Given the user is in Admin > Template settings  
    When the user sets the ""Primary Font Size"" to a value between 12 and 16  
    Then the page title font size in the Page Nav should update accordingly  
    When the user views the Page Nav in the builder (right side)  
    Then the updated font size should be applied  
    When the user views the Page Nav on the Page (left side)  
    Then the updated font size should be applied  
    When the user changes the Primary Font Size in Admin  
    Then the updated font size should immediately reflect in the Page Nav "
335,"PB - As a User, I want to create a Drag & Drop Page (as a standalone Page) from Nav",1. Be able to create a Drag & Drop Page from Nav via the creation button at the bottom or the action button 'Page' from kebab icon (this action is only for standalone or parent page) as per under ‘All Pages' or specific Page Category in Page Builder,"Scenario: Creating a Drag & Drop Page from Navigation in Page Builder
Given the user is in the Page Builder under ‘All Pages’ or a specific Page Category
When they want to create a Drag & Drop Page
Then they should see the creation button at the bottom of the Nav Panel
And Given the user clicks the creation button
Then they should be able to start creating a Drag & Drop Page
And Given the user is interacting with a standalone or parent page
When they click the kebab menu icon (⋮) and select the ‘Page’ action
Then they should also be able to create a Drag & Drop Page"
476,"As a User, I want to filter Image Resources that flagged with Unknown faces","1. Be able to filter resources with “Unknown People“ condition from resource filter panel if they ever include any Unknown faces in Facial Recognition as per 
2. Be able to always see “Unknown People“ condition below “People” as per (the position of “Unknown People“ is closely blow “People“)","Scenario: Filter Resources by 'Unknown People' in Resource Filter Panel
Given the user is in the Resource Filter Panel
When the resource contains Unknown faces detected by Facial Recognition
Then the user should be able to filter resources using the ""Unknown People"" condition
And the ""Unknown People"" filter option should always be positioned directly below the ""People"" filter in the panel"
337,"PB - As a User, I want to create an empty  Smart Page from the template popup","1. Be able to see and click on the button : “Start with a blank template” as per 
2. Be able to see selected effect as per once click on it","Scenario: Selecting ‘Start with a Blank Template’ in Page Template Popup
Given the user is in the Page Template Popup in V3 Page Builder
When they view the available options
Then a button labeled “Start with a Blank Template” should be visible
And Given the “Start with a Blank Template” button is visible
When the user clicks on it
Then the button should show a selected effect as per design
And the user should proceed to create a blank page template"
441,As a user I can only select a max of 300 items to Review in Bulk (FE),"1. When user has selected 300 total items, then:
2. All other select icons for non-selected items in the list become disabled","Scenario: Disable Selection of Additional Items After Reaching Selection Limit
Given I am on a page with a list of selectable items
When I select items from the list
And the total number of selected items reaches 300
Then the selection controls for all non-selected items should become disabled
And I should not be able to select any additional items beyond the 300-item limit



"
174,"MCP Front End - As a User, I can View details of a server","1. Clicking view icon from Servers table opens View mode for Servers form
2. Servers form in view mode","Scenario: Viewing a Server Entry from the Servers Table
Given the user is on the Servers table
When the user clicks on the View icon for a server entry
Then the Server form should open in View mode
And the form fields should be non-editable"
3,"As an IB team member, I want to be able to enable a GIF/Lottie setting in MCP so that I can control all the settings from one place","1. We need an MCP feature flag/setting called “Resources - GIF/Lottie Preview Support” in the Development Use Only area. If this setting is enabled then any tickets as part of this project become enabled, if disabled then no GIF/Lottie preview features should be available on the platform.
2. Lottie general file support can be independent if needed 
3. A setting called “Resources - GIF/Lottie Preview Support” should be created in the Development Use only area of the MCP. 
4. The setting must be a toggle switch that can be enabled and disabled as needed. 
5. When enabled, any GIF/Lottie Preview tickets as part of this project must become enabled. 
6. When disabled, no GIF/Lottie Preview settings should be available on the platform.
","Scenario: Verify GIF/Lottie Preview Support related MCP setting availability
  Given I am an admin or a participant who is in the platform setting tab on MCP
  When I check for GIF/Lottie Preview Support 
  Then I can see this setting under development only area
  When I try to enable/ disable the setting
  Then I can click and unclick"
334,"PB - [1/4] As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ",1. Add a MCP setting “Smart Pages - Page Templates (development use only)“ under Development Use only,"Scenario: Adding ""Smart Pages - Page Templates (development use only)"" Setting in MCP
Given the user has access to the MCP settings
When they navigate to the Development Use Only section
Then a new setting named “Smart Pages - Page Templates (development use only)” should be displayed
And Given the setting is visible
Then the user should be able to enable or disable it based on their preferences"
410,Grouped Record Files - Grouped Completion Email to Requester,"1. Following, when *Enable Grouped Requests* setting is enabled + *Requester > Grouped Request has been completed* Grouped notification settings is enabled (in Select scenario or as part of ‘All’), then on Grouped Record File request being made, then:
2. Individual emails are no longer sent for these requests as they are individually completed ","Scenario: Suppressing Individual Completion Emails for Grouped Record File Requests
Given the 'Enable Grouped Requests' setting is enabled
And the 'Requester > Grouped Request has been completed' notification setting is enabled
When a grouped Record File request is made
Then individual completion emails should not be sent for each request as they are completed
And a single grouped completion notification should be sent to the requester upon completion of the grouped request"
71,"As a user who can reassign, I can select multiple reviewers","1. Prerequisite is enabled has been opened
2. The users that can be selected will depend on logic implemented in other tickets, but here we will handle that multiple users can be selected from the dropdown and +appear in the field once selected, as per designs","Scenario: Users can select multiple users from the dropdown when Prerequisite is enabled
Given the Prerequisite option is enabled and opened
When the user selects multiple users from the dropdown
Then the selected users should appear in the field as per the designs
And the dropdown should allow multiple selections based on the implemented logic from other tickets"
210,"PB - As a User, I want to see a new landing page","1. Be able to see just empty Sections with no ""Blocks""","Scenario: User views a new landing page with empty Sections  
    Given the user is in Page Builder  
    When the user creates a new landing page  
    Then the page should display empty Sections  
    And there should be no Blocks inside the Sections  "
64,"As a User, I want to edit Font in Text Widget","1. Be able to edit Rich Text Editor for Text Widget Fonts
2. Be able to have the same Fonts as in current custom page Rich Text Editor
3. Additionally, be able to have custom fonts added from Admin (if available)","Scenario: Edit Fonts in Rich Text Editor for Text Widget
Given the user has added a Text Widget to a Block
When they open the Rich Text Editor and click on the font dropdown menu
Then they should see the same font options as in the current custom page Rich Text Editor
And if custom fonts have been added from Admin, they should also be available in the dropdown
And when the user selects a font, the text within the Text Widget should update accordingly"
385,"PB - As a User, I want to re-order pages within the same parent/root via Nav - FE UI component","1. Be able to re-order Pages via drag-and-drop from Nav Panel during editing
2. Sub-pages will be moved all together with Page if it contains any
3. After drag-and-drop of Pages, Sub-pages will be *collapsed* under Page from Nav Panel","Scenario: Reordering Pages and Sub-Pages via Drag-and-Drop in Navigation Panel
Given a user is in editing mode within the Page Builder
When the user drags a page that contains sub-pages to a new position in the Navigation Panel
Then the page, along with all its sub-pages, should move together to the new position
And after the move, the sub-pages should be collapsed under the parent page in the Navigation Panel
And the updated page order and hierarchy should be saved and persist across editing and viewing modes until changed again by the user"
94,"As a user, who I can select as collaborator updates based on if 'all' is allowed in Template settings","1. If ‘All users’ is selected in ‘*Collaborators permissions*’ in Workflow Template settings page
then
2. All Active platform users can be selected as a Collaborator can be anyone on the platform
3.This means the bypass permissions will be extended to any selected user,_ +_even if they lack permission to the source item module, etc_+ ","Scenario: All Active Platform Users Can Be Selected as Collaborators and Granted Bypass Permissions
Given ‘All users’ is selected in Collaborators permissions in the Workflow Template settings page
And I am an active platform user
When I am added as a collaborator to a supported request
Then I should be granted bypass permissions to the source item associated with the request
And I should be able to access the request even if I previously lacked permission to the source item module"
486,"PB - (Misc) As a User, I want to exit Editing mode and go back to Custom Page List during creating/editing a Simple Page",1. Be able to see and click on page exit button from the top bar as per to exit Editing mode when,"Scenario: Click Page Exit Button to Exit Editing Mode
Given the user is in Editing Mode
When they view the top bar
Then the page exit button should be visible as per the design
And when the user clicks on it
Then they should exit Editing Mode"
186,"PB - As a User, I want to configure both Block and Text Widget properties","1. Be able to see and configure the new widget settings from Nav (combining previously defined Block and Widget's settings) for each widgets:
","Scenario: User configures settings for Block and Text Widgets  
    Given the user is in the Page Builder  
    And a Block Widget or a Text Widget is placed within a Section  
    When the user selects the Block Widget or Text Widget  
    Then the widget settings panel should open in the navigation panel  
    And the settings should include previously defined Block and Text Widget properties  
    When the user modifies any settings in the panel  
    Then the changes should be applied to the selected widget in real time  
    And the settings should persist when the page is saved "
34,"As a User, I want to Change the tagged face to another Person (existing) via drop-down menu on Training Centre","1. Be able to see the training centre 
2. Be able to proceed to update to another existing Person from the drop-down menu after detaching the Face, and then simultaneously saved","Scenario: Detach face and reassign to another person from dropdown
  Given I am in the training centre
  And I can see a face assigned to ""John Smith""
  And ""Sarah Johnson"" exists as another person in the system
  
  When I detach the face from ""John Smith""
  Then I should see the face is no longer assigned to ""John Smith""
  
  When I click the person selection dropdown
  Then I should see a list of existing people
  And ""Sarah Johnson"" should be visible in the dropdown
  
  When I select ""Sarah Johnson"" from the dropdown
  Then the face should be automatically assigned to ""Sarah Johnson""
  And the changes should be saved immediately
  And the face should now appear under ""Sarah Johnson"" in the training centre"
78,"As a User, when I create, update and delete a Server and the action has failed, show a snackbar message to show the error","1. After creating a Server and it fails, the page remains open and a snackbar appears with the error message 
2. After editing a Server and it fails, the page remains open and a snackbar appears with the error message 
3. After deleting a Server and it fails, the dialog remains open(?) and a snackbar appears with the error message
","Scenario: Handling Server Creation, Editing, and Deletion Failures
Given a user creates, edits, or deletes a Server
When the operation fails
Then the page or dialog remains open
And a snackbar appears with the error message"
1,"As a user, I want to enable image tagging from the Asset Intelligence section in the MCP settings","1. A new MCP setting is to be created under the Asset Intelligence section for Image Tagging (Azure). We may try any tie some of the existing Imagga settings later but for now we’ll keep seperate. 
2. Under Enable Video / Audio Tagging: there needs to be a new setting called Enable Image Tagging 
3. All Image Tagging Capabilities and categories will be dependant on this setting 
4. If this setting is enabled, then the platform should ignore any Imagga functionality and use Azure only
5. Underneath the setting Azure Video Processing Limit (per billing cycle):  there needs to be a new setting called Azure Image Processing Limit (Images) (per billing cycle):
6. While we’re here, change  Azure Video Processing Limit (per billing cycle): to  Azure Video Processing Limit (minutes) (per billing cycle):
7. Any Azure functionality and tickets worked on in this project should be tied to the Enable Image Tagging setting","Scenario:  Verify the MCP setting
Given I am an admin 
When I go to MCP setting
Then I can see a new MCP setting called ""Enable Image Tagging:"" is available under Asset Intelligence section -> Enable video / Audio Tagging
And I can see a new setting under asset intelligence as ""Azure Image Processing Limit (Images) (per billing cycle):""
And I can see Azure Video Processing Limit (per billing cycle): is changed to Azure Video Processing Limit (minutes) (per billing cycle):"
12,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Versions/Revisions Screen so that I can preview what the animation is before adding a version/revision","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Version OR Revision Tab of the Approvals Screen. This should help users to preview the animation while approving
2. As a user on the Version or Revision Tab
3. The preview should show the GIF or Lottie File converted MP4.
4. Approvals uses PDFTron
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the Markup Screen in Approvals
  Given I am an admin 
  When I upload Lottie and the GIF file
  And navigate to the Markup Screen in Approvals
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay"
416,[X-Template] Bulk Approvals - Select logic: Advanced cross template/type select (excluding record requests) - Full support/logic,"1.This ticket expands the support for what other requests can be selected from the Approval List when one item is selected, so that:
2.If multiple Templates have *Enable Bulk Reviewing* enabled","Scenario: Selecting Multiple Requests for Bulk Review Across Templates with 'Enable Bulk Reviewing' Enabled
Given multiple workflow templates have the 'Enable Bulk Reviewing' setting enabled
And there are pending requests associated with these templates in the approval list
When I select a request associated with one template
Then I should be able to select additional requests associated with other templates that also have 'Enable Bulk Reviewing' enabled
And I can perform bulk review actions on the selected requests"
23,"As a user, I want to see an Exit without saving warning when I try to leave the Bulk Edit Page/Process","1. If a user opens Bulk Edit, and then clicks Exit/Cancel, we will assume a change has been made somewhere in the process - data added on bulk page, or single view edit made - and so we will always show an abandon pop-up similar to Bulk Upload > Exit/Cancel
2. Pop-up Title: ‘Exit without saving {{ResourcesPlural}}’
3. Pop-up Text:  If you click the Exit button, none of the {{ResourcesPlural}} currently on your Bulk Edit screen will be updated. To Save your Edits, Cancel this popup and click Save Changes.’ 
4. Pop-up buttons:
Cancel - Returns user to the Bulk Edit page
Exit - Exits user and returns them to the folder","Scenario: Exit Without Saving Warning in Bulk Edit
    Given user is on bulk edit page
    When user clicks on the Exit/Cancel button
    Then pop should appear with the title ""Exit without saving {{ResourcesPlural}}""
    And pop should display the message:
      | If you click the Exit button, none of the {{ResourcesPlural}} currently on your Bulk Edit
      | screen will be updated. To Save your Edits, Cancel this popup and click Save Changes
    And pop should have two buttons: Cancel and Exit
    When user clicks on cancel
    Then user returns to bulk edit page
    When user clicks on the exit
    Then user returned to the folder"
