ID,Manual Scenario
498,"Scenario: Display ‘Markup Comments Revisions’ Data Condition When ‘All Workflows’ is Selected
Given the user is on the Workflow Requests page
When they select ‘All Workflows’ from the available options
Then a new data condition option ‘Markup Comments Revisions’ should be available for selection"
212,"Scenario: Track Resource download (Preview) separately in Smart Page usage reporting  
    Given the user is in the Smart Page module  
    And the user performs a Resource lookup in the Smart Page  
    When the user downloads a resource in Preview quality  
    Then the Resource download action should be tracked separately in the usage report  
    And the action should be recorded for the previously uploaded Resource (Preview type)  
    And the action should be reported under the Resource Module (Usage) for Smart Pages  "
102,"Scenario: User sets Primary Font Size in Admin and sees it reflected in Page Nav  
    Given the user is in Admin > Template settings  
    When the user sets the ""Primary Font Size"" to a value between 12 and 16  
    Then the page title font size in the Page Nav should update accordingly  
    When the user views the Page Nav in the builder (right side)  
    Then the updated font size should be applied  
    When the user views the Page Nav on the Page (left side)  
    Then the updated font size should be applied  
    When the user changes the Primary Font Size in Admin  
    Then the updated font size should immediately reflect in the Page Nav "
335,"Scenario: Creating a Drag & Drop Page from Navigation in Page Builder
Given the user is in the Page Builder under ‘All Pages’ or a specific Page Category
When they want to create a Drag & Drop Page
Then they should see the creation button at the bottom of the Nav Panel
And Given the user clicks the creation button
Then they should be able to start creating a Drag & Drop Page
And Given the user is interacting with a standalone or parent page
When they click the kebab menu icon (⋮) and select the ‘Page’ action
Then they should also be able to create a Drag & Drop Page"
476,"Scenario: Filter Resources by 'Unknown People' in Resource Filter Panel
Given the user is in the Resource Filter Panel
When the resource contains Unknown faces detected by Facial Recognition
Then the user should be able to filter resources using the ""Unknown People"" condition
And the ""Unknown People"" filter option should always be positioned directly below the ""People"" filter in the panel"
337,"Scenario: Selecting ‘Start with a Blank Template’ in Page Template Popup
Given the user is in the Page Template Popup in V3 Page Builder
When they view the available options
Then a button labeled “Start with a Blank Template” should be visible
And Given the “Start with a Blank Template” button is visible
When the user clicks on it
Then the button should show a selected effect as per design
And the user should proceed to create a blank page template"
441,"Scenario: Disable Selection of Additional Items After Reaching Selection Limit
Given I am on a page with a list of selectable items
When I select items from the list
And the total number of selected items reaches 300
Then the selection controls for all non-selected items should become disabled
And I should not be able to select any additional items beyond the 300-item limit



"
174,"Scenario: Viewing a Server Entry from the Servers Table
Given the user is on the Servers table
When the user clicks on the View icon for a server entry
Then the Server form should open in View mode
And the form fields should be non-editable"
3,"Scenario: Verify GIF/Lottie Preview Support related MCP setting availability
  Given I am an admin or a participant who is in the platform setting tab on MCP
  When I check for GIF/Lottie Preview Support 
  Then I can see this setting under development only area
  When I try to enable/ disable the setting
  Then I can click and unclick"
334,"Scenario: Adding ""Smart Pages - Page Templates (development use only)"" Setting in MCP
Given the user has access to the MCP settings
When they navigate to the Development Use Only section
Then a new setting named “Smart Pages - Page Templates (development use only)” should be displayed
And Given the setting is visible
Then the user should be able to enable or disable it based on their preferences"
410,"Scenario: Suppressing Individual Completion Emails for Grouped Record File Requests
Given the 'Enable Grouped Requests' setting is enabled
And the 'Requester > Grouped Request has been completed' notification setting is enabled
When a grouped Record File request is made
Then individual completion emails should not be sent for each request as they are completed
And a single grouped completion notification should be sent to the requester upon completion of the grouped request"
71,"Scenario: Users can select multiple users from the dropdown when Prerequisite is enabled
Given the Prerequisite option is enabled and opened
When the user selects multiple users from the dropdown
Then the selected users should appear in the field as per the designs
And the dropdown should allow multiple selections based on the implemented logic from other tickets"
210,"Scenario: User views a new landing page with empty Sections  
    Given the user is in Page Builder  
    When the user creates a new landing page  
    Then the page should display empty Sections  
    And there should be no Blocks inside the Sections  "
64,"Scenario: Edit Fonts in Rich Text Editor for Text Widget
Given the user has added a Text Widget to a Block
When they open the Rich Text Editor and click on the font dropdown menu
Then they should see the same font options as in the current custom page Rich Text Editor
And if custom fonts have been added from Admin, they should also be available in the dropdown
And when the user selects a font, the text within the Text Widget should update accordingly"
385,"Scenario: Reordering Pages and Sub-Pages via Drag-and-Drop in Navigation Panel
Given a user is in editing mode within the Page Builder
When the user drags a page that contains sub-pages to a new position in the Navigation Panel
Then the page, along with all its sub-pages, should move together to the new position
And after the move, the sub-pages should be collapsed under the parent page in the Navigation Panel
And the updated page order and hierarchy should be saved and persist across editing and viewing modes until changed again by the user"
94,"Scenario: All Active Platform Users Can Be Selected as Collaborators and Granted Bypass Permissions
Given ‘All users’ is selected in Collaborators permissions in the Workflow Template settings page
And I am an active platform user
When I am added as a collaborator to a supported request
Then I should be granted bypass permissions to the source item associated with the request
And I should be able to access the request even if I previously lacked permission to the source item module"
486,"Scenario: Click Page Exit Button to Exit Editing Mode
Given the user is in Editing Mode
When they view the top bar
Then the page exit button should be visible as per the design
And when the user clicks on it
Then they should exit Editing Mode"
186,"Scenario: User configures settings for Block and Text Widgets  
    Given the user is in the Page Builder  
    And a Block Widget or a Text Widget is placed within a Section  
    When the user selects the Block Widget or Text Widget  
    Then the widget settings panel should open in the navigation panel  
    And the settings should include previously defined Block and Text Widget properties  
    When the user modifies any settings in the panel  
    Then the changes should be applied to the selected widget in real time  
    And the settings should persist when the page is saved "
34,"Scenario: Detach face and reassign to another person from dropdown
  Given I am in the training centre
  And I can see a face assigned to ""John Smith""
  And ""Sarah Johnson"" exists as another person in the system
  
  When I detach the face from ""John Smith""
  Then I should see the face is no longer assigned to ""John Smith""
  
  When I click the person selection dropdown
  Then I should see a list of existing people
  And ""Sarah Johnson"" should be visible in the dropdown
  
  When I select ""Sarah Johnson"" from the dropdown
  Then the face should be automatically assigned to ""Sarah Johnson""
  And the changes should be saved immediately
  And the face should now appear under ""Sarah Johnson"" in the training centre"
78,"Scenario: Handling Server Creation, Editing, and Deletion Failures
Given a user creates, edits, or deletes a Server
When the operation fails
Then the page or dialog remains open
And a snackbar appears with the error message"
1,"Scenario:  Verify the MCP setting
Given I am an admin 
When I go to MCP setting
Then I can see a new MCP setting called ""Enable Image Tagging:"" is available under Asset Intelligence section -> Enable video / Audio Tagging
And I can see a new setting under asset intelligence as ""Azure Image Processing Limit (Images) (per billing cycle):""
And I can see Azure Video Processing Limit (per billing cycle): is changed to Azure Video Processing Limit (minutes) (per billing cycle):"
12,"Scenario: Verify the GIF and Lottie file preview on the Markup Screen in Approvals
  Given I am an admin 
  When I upload Lottie and the GIF file
  And navigate to the Markup Screen in Approvals
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay"
416,"Scenario: Selecting Multiple Requests for Bulk Review Across Templates with 'Enable Bulk Reviewing' Enabled
Given multiple workflow templates have the 'Enable Bulk Reviewing' setting enabled
And there are pending requests associated with these templates in the approval list
When I select a request associated with one template
Then I should be able to select additional requests associated with other templates that also have 'Enable Bulk Reviewing' enabled
And I can perform bulk review actions on the selected requests"
23,"Scenario: Exit Without Saving Warning in Bulk Edit
    Given user is on bulk edit page
    When user clicks on the Exit/Cancel button
    Then pop should appear with the title ""Exit without saving {{ResourcesPlural}}""
    And pop should display the message:
      | If you click the Exit button, none of the {{ResourcesPlural}} currently on your Bulk Edit
      | screen will be updated. To Save your Edits, Cancel this popup and click Save Changes
    And pop should have two buttons: Cancel and Exit
    When user clicks on cancel
    Then user returns to bulk edit page
    When user clicks on the exit
    Then user returned to the folder"
73,"Scenario: Display new V3+ UI modal when re-assigning with Prerequisite enabled
Given the Prerequisite option is enabled
And the user has the necessary permissions to re-assign based on existing logic
When the user clicks on the re-assign action
Then a new V3+ UI modal should be displayed as per the designs
And the core UI structure should be implemented, with further logic handled in other tickets"
183,"Scenario: User sets background color for the Text Widget  
    Given the user is in the Page Builder  
    And a Text Widget is placed within a Block  
    And the previous 'Block' background color setting is embedded in the Text Widget toolbar  
    When the user clicks on the background color setting in the toolbar  
    Then a color swatch popover should open  
    When the user selects a color from the swatch  
    Then the selected color should be applied as the background color for the Text Widget  
    And the applied background color should persist when the page is saved"
132,"Scenario: Display Add Button on Servers Landing Page
Given the user is on the Servers Landing Page
When the page loads
Then the ""Add"" button should always be visible
And the visibility of the ""Add"" button should not be affected by user permissions (as permissions will be handled in a separate ticket)






"
411,"Scenario: Display Additional Notification Options When 'Enable Grouped Requests' is Enabled
Given the 'MCP development' setting is enabled
And the 'Enable Grouped Requests' setting is enabled in Admin > Workflow for a Record File Approval Template
And 'User Notifications' is set to 'Select'
When a user configures the notification settings
Then additional notification options for 'Requester Emails' should be displayed"
194,"Scenario: User can replace resources in Page Builder using Resource Lookup  
    Given the user is in Page Builder and viewing a Page  
    When the user clicks the ""Replace"" button for a resource in the Nav Panel  
    Then the user should be able to select another resource via Resource Lookup  
    And the tooltip for the ""Replace"" button should update to ""Select an image from your Resource custom singular area"" when replacing a page background  
    And the tooltip for the ""Replace"" button should update to ""Select a video from your Resource custom singular area"" when replacing a video widget  
    And the tooltip for the ""Select"" button remains the same as before  
    And the resource is updated with the newly selected resource after confirming via the Resource Lookup  
    And the ""Replace"" button should behave as per design after selecting a new resource  "
56,"Scenario: Replying to a Comment
Given the user is viewing a comment section
When the user clicks on the ""Reply"" button as per the design
Then the system should open the Reply page in a new tab

And the applicable comment should be highlighted
And the reply text box should be active and ready for input"
149,"Scenario: Automatically End Session When Markup Overlay is Closed
Given the user has an active session in the markup overlay
When the user closes the markup overlay
Then the system should automatically end the user session by default






"
19,"Scenario: 'Allow User to Add More' setting with 30 records
      Given I am in the Configure Auto-Created Records overlay
      When I add 30 records 
      And 1 of those records has 'Allow User to skip…’ enabled
      Then I can enable 'Allow User to Add More'
      When I disable 'Allow User to skip…’ on the last record
      Then 'Allow User to Add More' is disabled
      And if I hover over the setting I see the text 'The max 30 {{Records}} has been added here. Remove any of the above to allow users to add more.'"
205,"Scenario: User adds and configures a Spacer Widget in a Section
    Given the user is in Create/Edit mode in Page Builder
    And the user can see the ""Spacer"" Widget in the Nav panel
    When the user drags the ""Spacer"" Widget from the Nav panel to a Section
    Then the Spacer Widget should be added to the Section
    And the Spacer Widget should have default settings:
      | Property | Default Value  |
      | Colour   | #FFFFFF        |
      | Padding  | 0pt (all sides) |
      | Ratio    | 12 (for empty Section) |
    When the user opens the Spacer Widget settings
    Then the user should be able to modify the Colour, Padding, and Ratio properties
    When the user drags a Section into the Spacer Widget
    Then the Section should be successfully nested inside the Spacer Widget"
79,"Scenario: Adding a New Development Setting for Single User Record Edit Restriction
Given the user has access to the MCP (Master Control Panel)
When the user navigates to the ""Development Use Only"" section
Then a new setting named ""Databases - Single User Record Edit Restriction"" is available
And it is located at the bottom of the list"
495,"Scenario: Display Items Based on Workflow Selection
Given the user is on the Item List page
When they select either ‘All Workflows’ or a specific Workflow from the filter
Then the item list should update to display only the items that match the selected workflow criteria






"
263,"Scenario: User deletes a Block from a Simple Page  
    Given the user is in the Simple Page Builder  
    And the user has added at least one Block to a Section  
    When the user selects a Block  
    Then the toolbar should appear with a delete icon  
    When the user clicks on the delete icon  
    Then the Block and all its contents should be removed  
    When the user clicks ""Undo""  
    Then the deleted Block and its contents should be restored  
    When a Block is deleted  
    Then the remaining Blocks should auto-align within the Section  "
324,"Scenario: Displaying and Enforcing Default State of ‘Limit to Current View’ Checkbox
Given the user has opened the ‘Ask AI’ side panel
When the panel is displayed
Then a ‘Limit to current view’ checkbox should appear under the question field
And the checkbox should be enabled by default"
484,"Scenario: Display Replied Markup Comments in Daily Digest Email
Given the user has enabled daily digest emails for markup comments
And there are new replies to markup comments
When the daily digest email is generated
Then the replied markup comments should be included as per the design
And the email should display the replied comment contents, user, and timestamp according to the current logic"
80,"Scenario: Displaying 'No Master Templates Available' Message
Given the user opens the Master Template overlay
And there are no Master Templates available
Then the message ""No Master Templates available"" is displayed
And the user is given the option to Create a Blank Template as per designs






"
40,"Scenario: Product user toggles Record Publish Approval feature during development
  Given the user is a Product user with access to MCP settings
  When the user navigates to the MCP development settings section
  And the user sees the setting labeled ""Approvals - Record Publish Approval Rewrite (development use only)""
  Then the user should be able to enable or disable the Record Publish Approval feature
  And the system should respect the setting by turning the feature on or off accordingly"
452,"Scenario: Display Bulk Action Footer When One Item is Selected
Given the user is on the items list page
And there are multiple items displayed with checkboxes
When the user selects a single item's checkbox
Then the Bulk Action footer bar should be displayed"
47,"Scenario: View and adjust block width ratio settings
 Given I am viewing the Side Panel
 And I have a block selected
 
 Then I should see the width configuration section with:
   | Element       | Display                    |
   | Title        | ""Width""                    |
   | Description  | ""BLOCK RATIO""              |
   | Control      | Ratio adjustment slider    |
 
 When I view the width configuration layout
 Then I should see elements ordered as:
   1. ""Width"" title at the top
   2. ""BLOCK RATIO"" description below title
   3. Ratio slider control at the bottom"
239,"Scenario: User bulk submits updates and completes staged requests  
    Given the user is on the Bulk Review page  
    When the user clicks the ""Submit & Continue"" button  
    Then the button should show the correct hover tooltip text  
    And the system should display the appropriate snackbar after the submit  
    And the items in the list should be updated accordingly after a successful submit  
    And the user should be able to complete staged requests multiple times until they reach the last stage  
    And the ""Complete Stage"" should mark the request as completed when in the last stage  
    And the user should be able to save staged requests with mixed current stages  "
392,"Scenario: Restrict Requester Re-assignment Permissions in V2 Approval List
Given a requester is accessing the V2 Approval List
When the requester attempts to re-assign a request
Then the system should prevent the requester from re-assigning the request
And only users with Workflow Admin or Main Admin roles should have the permission to re-assign requests in the V2 Approval List"
353,"Scenario: Viewing Empty Sections Without Blocks
Given the user is in Page Builder
And the Page is in Create or Edit mode
When the user adds a new Section
Then the Section should be visible as an empty container
And it should not contain any Blocks by default
And the user should have the option to drag Widgets into the empty Section"
342,"Scenario: Maintaining Page Tree Structure While Switching Pages
Given the user is in the V3 Page Builder
And the Page Tree is displayed in the Nav Panel
When the user switches between pages during Viewing or Editing
Then the Page Tree structure should remain unchanged
And Given the parent page is expanded with sub-pages displayed under it
When the user navigates to a different page
Then the expanded parent page and its visible sub-pages should remain unchanged in the Page Tree"
278,"Scenario: Displaying Sequence ID in a Chip Component with Truncation and Copy Functionality
Given the user is viewing a record with a Sequence ID
When the Sequence ID is displayed
Then it should be shown inside a Chip component
And if the Sequence ID is too long, it should be truncated
And when the user hovers over the truncated Sequence ID, a tooltip should appear displaying the full value
And a copy icon should be available next to the Sequence ID
When the user clicks the copy icon
Then the full Sequence ID should be copied to the clipboard
And a confirmation message should appear indicating that the ID has been copied successfully"
291,"Scenario: Assign or Re-Assign a Page or Parent with Sub-Pages to a Page Category
Given the user is on the Assign Page Category interface
When the user selects a standalone Page or a Parent Page (including all sub-pages) to be assigned or re-assigned to an existing Page Category
And the user confirms the action
Then the selected Page or Parent Page with sub-pages should be assigned to the chosen Page Category
And the Page(s) should now appear under the newly assigned Page Category in the navigation"
318,"Scenario: Visibility of ‘AI Assist’ Button Based on User Role
Given the platform is in the Alpha phase
When a Main Admin user logs in
Then they should see the ‘AI Assist’ button in the interface
And Given a user who is not a Main Admin logs in
When they access the interface
Then they should not see the ‘AI Assist’ button
And they should not be able to access this feature
And Given a Main Admin user is emulating a non-Main Admin user
When they navigate the interface as the emulated user
Then they should also not see the ‘AI Assist’ button"
305,"Scenario: Configuring Button Widget Settings from Navigation
Given the user is in the application
And the navigation menu contains a section for widget settings
When the user selects the ""Button"" widget from the navigation menu
Then the widget settings panel should display the combined settings of Block and Widget
And Given the user is viewing the ""Button"" widget settings
When they enter a new text value in the ""Button Text"" field
Then the button in the widget should update to display the entered text
And Given the user is viewing the ""Button"" widget settings
When they enter a valid URL in the ""Button Link"" field
Then the button should be configured to navigate to the entered URL when clicked"
269,"Scenario: User moves a widget to another Block within the same Section
    Given the user is on the Simple Page Builder page
    And there are multiple widgets in different Blocks within the same Section
    And the target Block is empty
    When the user clicks and holds the reorder icon of a widget
    And drags the widget to the target Block within the same Section
    Then the widget should be successfully moved to the target Block
    And the user should see selecting and hovering effects while dragging the widget
"
70,"Scenario: Users with Create Jobs permission can open img.ly+IB Templates as a Job
Given a user is on the Info Preview page of an img.ly+IB created Template (Master or Standard)
And the user has permission to Create Jobs (i.e., access to that folder)
When the user selects the new action
Then the Template should open as a Job
And it should function the same way as other ‘Create Job’ locations"
456,"Scenario: Checkbox Availability in the New Column
Given the new column is displayed
And no items are selected
When the user views the checkboxes within this column
Then the checkboxes should be enabled only for:
Pending Record File Approval requests (if enabled at the template level)
Pending Resource Feedback Approval requests (if enabled at the template level)
And checkboxes for all other requests should be disabled or unselectable"
466,"Scenario: User Can Change Search to See More Items and Handle Last Item in Folder
Given the user has performed a search and sees a list of items
When the user modifies the search criteria
Then more items should be displayed based on the new search query
And if only a single item remains in the folder, it should be handled according to the defined system behavior"
155,"Scenario: Automatically Start Session When a New Action Occurs on the Markup Page
Given the user is on the Markup Page
And the session is not yet active
When the user performs any of the following actions:
Updates the comment status
Edits an existing comment
Deletes a comment
Then the system should automatically start the session for the user






"
83,"Scenario: Job Creators Can Only Interact with Allowed Layers and Elements in Adopter Mode
Given a Job Creator opens the Editor in Adopter Mode
When they attempt to interact with layers and elements
Then they can only modify elements based on the restrictions set by the Template Creator
And restricted elements remain non-editable for all users, including Admins and the Template Creator






"
478,"Scenario: Display Text Widget Link Popup as Per Design
Given the user is editing a Text Widget
When the user selects text and clicks the link option
Then the link popup should be displayed
And it should appear as per the specified design requirements"
173,"Scenario: Editing a Server Entry and Handling Unsaved Changes
Given the user is on the Servers table
When the user clicks on the Edit icon for a server entry
Then the Server form should open in update mode
When the user makes updates to the form and clicks on the Cancel or Close button
Then a warning message should be displayed, prompting the user to confirm if they want to discard unsaved changes"
322,"Scenario: Displaying Question Field in ‘Ask AI’ Side Panel
Given the user has opened the ‘Ask AI’ side panel
When the panel is displayed
Then a text field for entering a question should appear under the panel header
And Given the question field is visible
Then it should display the placeholder text: ‘Ask me a question’"
91,"Scenario: Updating UI Based on New Designs Without Changing Logic
Given the system is displaying the current UI
When the updated designs are implemented
Then the UI updates to match the new design specifications from Figma
And no changes are made to the existing logic unless explicitly noted in the design requirements






"
181,"Scenario: Display Navigation with Stages and Their Status
Given a user is on a multi-stage workflow form
When the user views the navigation panel
Then the navigation should display all stages of the workflow
And each stage should show its current status (e.g., Completed, In Progress, Pending)
And the user should be able to navigate between stages using the existing navigation system"
415,"Scenario: Adding a Sub-Page via Navigation Settings
Given I am in the navigation panel in editing mode
When I click on the settings button of a simple page
And I select the ""Add Sub-Page"" option
Then a sub-page creation popup should appear
When I input the sub-page's title
And I click the ""Save"" button
Then the new sub-page should be added under the selected simple page in the navigation panel"
313,"Scenario: Previewing Pages as Thumbnails for Drag & Drop in v2 Index Page
Given the user is on the v2 index page
When they switch to either List view or Thumbnail layout view
Then each page should be displayed as a thumbnail preview
And Given the user is viewing the page thumbnails
When they attempt to drag and drop a page to reorder it
Then the page should be repositioned correctly in the updated order
And the thumbnail preview should reflect the new position accordingly"
279,"Scenario: Display Possible Values for a Record Status
Given the user is viewing or updating a record
When the status field is displayed
Then the possible values for the status should be ""Draft"" and ""Archived""
And the user should only be able to select between these two values






"
382,"Scenario: Public User Creates a Record Without Database Name in Header and No Close Icon
Given a public user is on the ""Create Record"" page
When the page is displayed
Then the page header should read ""Create {{Record}}"" without mentioning the database name
And the 'x' close icon should not be visible on the page"
473,"Scenario: Set and Adjust Opacity for Page/Section/Block Background, Color Palette Widget, and Button Widget
Given the user is editing a Page, Section, or Block
And the user has access to the Color Palette Widget and Button Widget settings
When the user sets the background color, text color, or button background
Then they should be able to adjust the transparency/opacity using the opacity bar below the hue bar as per the design
And the selected opacity level should be applied accordingly






"
363,"Scenario: Moving a Sub-Page to Become a Standalone Page via Drag-and-Drop in Page Builder
Given the user is in editing mode within the Page Builder
And the Navigation Panel displays a hierarchical list of pages, including sub-pages
When the user drags a sub-page from its current parent page and drops it into the root level of the Navigation Panel
Then the sub-page becomes a standalone page without any sub-pages
And the Navigation Panel updates to reflect the new page hierarchy
And the user can see the updated order and hierarchy of the page list in the Navigation Panel"
