id,Title,Authors,Year,Venue,Search Query,Source URL,v1_decision,v1_reason,v2_decision,v2_reason
20,Candidate Study 20: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
21,Candidate Study 21: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
22,Candidate Study 22: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
23,Candidate Study 23: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
24,Candidate Study 24: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
25,Candidate Study 25: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
26,Candidate Study 26: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
27,Candidate Study 27: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
28,Candidate Study 28: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
29,Candidate Study 29: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
30,Candidate Study 30: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,Springer,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
31,Candidate Study 31: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
32,Candidate Study 32: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
33,Candidate Study 33: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
34,Candidate Study 34: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
35,Candidate Study 35: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
36,Candidate Study 36: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
37,Candidate Study 37: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
38,Candidate Study 38: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
39,Candidate Study 39: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
40,Candidate Study 40: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
41,Candidate Study 41: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
42,Candidate Study 42: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
43,Candidate Study 43: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
44,Candidate Study 44: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,arXiv,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
45,Candidate Study 45: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
46,Candidate Study 46: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
47,Candidate Study 47: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
48,Candidate Study 48: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
49,Candidate Study 49: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
50,Candidate Study 50: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no clear quantitative evaluation metrics
51,Candidate Study 51: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: adjacent LLM/code generation topic but not unit test generation
52,Candidate Study 52: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC5: no dataset or benchmark description
53,Candidate Study 53: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,arXiv,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC6: focuses on test maintenance rather than generation
