id,Title,Authors,Year,Venue,Search Query,Source URL,v1_decision,v1_reason
66,"Search Result 66: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
67,"Search Result 67: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
68,"Search Result 68: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ACM Digital Library,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
69,"Search Result 69: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
70,"Search Result 70: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
71,"Search Result 71: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
72,"Search Result 72: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
73,"Search Result 73: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
74,"Search Result 74: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
75,"Search Result 75: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
76,"Search Result 76: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
77,"Search Result 77: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,Google Scholar,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
78,"Search Result 78: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
79,"Search Result 79: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
80,"Search Result 80: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
81,"Search Result 81: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
82,"Search Result 82: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
83,"Search Result 83: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
84,"Search Result 84: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
85,"Search Result 85: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
86,"Search Result 86: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
87,"Search Result 87: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ACM Digital Library,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
88,"Search Result 88: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
89,"Search Result 89: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
90,"Search Result 90: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ACM Digital Library,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
91,"Search Result 91: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
92,"Search Result 92: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,Google Scholar,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
93,"Search Result 93: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,Google Scholar,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
94,"Search Result 94: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
95,"Search Result 95: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
96,"Search Result 96: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
97,"Search Result 97: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
98,"Search Result 98: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
99,"Search Result 99: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
100,"Search Result 100: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
101,"Search Result 101: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
102,"Search Result 102: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
103,"Search Result 103: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
104,"Search Result 104: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
105,"Search Result 105: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
106,"Search Result 106: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
107,"Search Result 107: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
108,"Search Result 108: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
109,"Search Result 109: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
110,"Search Result 110: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
111,"Search Result 111: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
112,"Search Result 112: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
113,"Search Result 113: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
114,"Search Result 114: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
115,"Search Result 115: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
116,"Search Result 116: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ACM Digital Library,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
117,"Search Result 117: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
118,"Search Result 118: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
119,"Search Result 119: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
120,"Search Result 120: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
121,"Search Result 121: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
122,"Search Result 122: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
123,"Search Result 123: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
124,"Search Result 124: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
125,"Search Result 125: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ScienceDirect,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
126,"Search Result 126: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
127,"Search Result 127: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
128,"Search Result 128: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
129,"Search Result 129: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
130,"Search Result 130: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,IEEE Xplore,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
131,"Search Result 131: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
132,"Search Result 132: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
133,"Search Result 133: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
134,"Search Result 134: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
135,"Search Result 135: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
136,"Search Result 136: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
137,"Search Result 137: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
138,"Search Result 138: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
139,"Search Result 139: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
140,"Search Result 140: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
141,"Search Result 141: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
142,"Search Result 142: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
143,"Search Result 143: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
144,"Search Result 144: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
145,"Search Result 145: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
146,"Search Result 146: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
147,"Search Result 147: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
148,"Search Result 148: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
149,"Search Result 149: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
150,"Search Result 150: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
151,"Search Result 151: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
152,"Search Result 152: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ACM Digital Library,String B,,EXCLUDE,EC4: citation-only/no full text at screening stage
153,"Search Result 153: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,arXiv,String B,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
154,"Search Result 154: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
155,"Search Result 155: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
156,"Search Result 156: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String B,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
