id,Title,Authors,Year,Venue,Search Query,Source URL
44,Candidate Study 44: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,arXiv,String A,
45,Candidate Study 45: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,IEEE,String B,
46,Candidate Study 46: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ScienceDirect,String A,
47,Candidate Study 47: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,
48,Candidate Study 48: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,
49,Candidate Study 49: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ScienceDirect,String B,
50,Candidate Study 50: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,
51,Candidate Study 51: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,Springer,String B,
52,Candidate Study 52: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String A,
53,Candidate Study 53: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,arXiv,String B,
54,"Search Result 54: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,
55,"Search Result 55: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String A,
56,"Search Result 56: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,
57,"Search Result 57: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String A,
58,"Search Result 58: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,
59,"Search Result 59: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,
60,"Search Result 60: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,arXiv,String A,
61,"Search Result 61: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,
62,"Search Result 62: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String A,
63,"Search Result 63: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,
64,"Search Result 64: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,
65,"Search Result 65: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String A,
66,"Search Result 66: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,
67,"Search Result 67: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,
68,"Search Result 68: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ACM Digital Library,String A,
69,"Search Result 69: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,
70,"Search Result 70: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String A,
71,"Search Result 71: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,
72,"Search Result 72: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String A,
73,"Search Result 73: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String A,
74,"Search Result 74: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,
75,"Search Result 75: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String A,
76,"Search Result 76: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String A,
77,"Search Result 77: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,Google Scholar,String A,
78,"Search Result 78: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String A,
79,"Search Result 79: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,
80,"Search Result 80: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,
81,"Search Result 81: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String A,
82,"Search Result 82: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,
83,"Search Result 83: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String A,
84,"Search Result 84: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,
85,"Search Result 85: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,
86,"Search Result 86: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,
87,"Search Result 87: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ACM Digital Library,String A,
88,"Search Result 88: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String A,
89,"Search Result 89: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String A,
90,"Search Result 90: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ACM Digital Library,String A,
91,"Search Result 91: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String A,
92,"Search Result 92: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,Google Scholar,String A,
93,"Search Result 93: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,Google Scholar,String A,
94,"Search Result 94: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,
95,"Search Result 95: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String A,
96,"Search Result 96: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String A,
97,"Search Result 97: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,
98,"Search Result 98: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String A,
99,"Search Result 99: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String A,
100,"Search Result 100: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String A,
101,"Search Result 101: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,
102,"Search Result 102: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,Google Scholar,String A,
103,"Search Result 103: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,Google Scholar,String A,
104,"Search Result 104: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String A,
105,"Search Result 105: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,
106,"Search Result 106: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String A,
107,"Search Result 107: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,
108,"Search Result 108: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String A,
109,"Search Result 109: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,
110,"Search Result 110: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String A,
111,"Search Result 111: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String A,
112,"Search Result 112: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String A,
113,"Search Result 113: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,
114,"Search Result 114: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String A,
115,"Search Result 115: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,
116,"Search Result 116: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ACM Digital Library,String A,
117,"Search Result 117: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,
118,"Search Result 118: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,
119,"Search Result 119: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String A,
120,"Search Result 120: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,
121,"Search Result 121: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String A,
122,"Search Result 122: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,
123,"Search Result 123: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String A,
124,"Search Result 124: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String A,
125,"Search Result 125: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ScienceDirect,String A,
126,"Search Result 126: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String B,
127,"Search Result 127: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,
128,"Search Result 128: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,
129,"Search Result 129: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,
130,"Search Result 130: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,IEEE Xplore,String B,
131,"Search Result 131: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,
132,"Search Result 132: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String B,
133,"Search Result 133: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,
134,"Search Result 134: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,
135,"Search Result 135: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,
136,"Search Result 136: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String B,
137,"Search Result 137: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,
138,"Search Result 138: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,
139,"Search Result 139: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,
140,"Search Result 140: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String B,
141,"Search Result 141: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,
142,"Search Result 142: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
143,"Search Result 143: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,
144,"Search Result 144: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,
145,"Search Result 145: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,
146,"Search Result 146: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,
147,"Search Result 147: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,
148,"Search Result 148: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,
149,"Search Result 149: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,
150,"Search Result 150: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,
151,"Search Result 151: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,
152,"Search Result 152: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ACM Digital Library,String B,
153,"Search Result 153: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,arXiv,String B,
154,"Search Result 154: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,
155,"Search Result 155: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
156,"Search Result 156: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,Google Scholar,String B,
157,"Search Result 157: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,
158,"Search Result 158: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,IEEE Xplore,String B,
159,"Search Result 159: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String B,
160,"Search Result 160: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,
161,"Search Result 161: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String B,
162,"Search Result 162: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,
163,"Search Result 163: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,
164,"Search Result 164: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,
165,"Search Result 165: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,ScienceDirect,String B,
166,"Search Result 166: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,
167,"Search Result 167: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,
168,"Search Result 168: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,
169,"Search Result 169: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,
170,"Search Result 170: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
171,"Search Result 171: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,
172,"Search Result 172: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
173,"Search Result 173: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,ACM Digital Library,String B,
174,"Search Result 174: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,arXiv,String B,
175,"Search Result 175: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,
176,"Search Result 176: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,Google Scholar,String B,
177,"Search Result 177: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String B,
178,"Search Result 178: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String B,
179,"Search Result 179: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,IEEE Xplore,String B,
180,"Search Result 180: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,IEEE Xplore,String B,
181,"Search Result 181: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,
182,"Search Result 182: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,
183,"Search Result 183: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ACM Digital Library,String B,
184,"Search Result 184: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,arXiv,String B,
185,"Search Result 185: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,SpringerLink,String B,
186,"Search Result 186: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
187,"Search Result 187: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String B,
188,"Search Result 188: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,
189,"Search Result 189: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,
190,"Search Result 190: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
191,"Search Result 191: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String B,
192,"Search Result 192: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,
193,"Search Result 193: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,IEEE Xplore,String B,
194,"Search Result 194: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String B,
195,"Search Result 195: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ScienceDirect,String B,
196,"Search Result 196: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
197,"Search Result 197: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,Google Scholar,String B,
198,"Search Result 198: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,IEEE Xplore,String B,
199,"Search Result 199: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,
200,"Search Result 200: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
201,"Search Result 201: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
202,"Search Result 202: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,SpringerLink,String B,
203,"Search Result 203: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,
204,"Search Result 204: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,
205,"Search Result 205: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,ScienceDirect,String B,
206,"Search Result 206: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,arXiv,String B,
207,"Search Result 207: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String B,
208,"Search Result 208: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ACM Digital Library,String B,
209,"Search Result 209: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,
210,"Search Result 210: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String B,
211,"Search Result 211: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
212,"Search Result 212: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,ACM Digital Library,String B,
213,"Search Result 213: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,
214,"Search Result 214: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,ScienceDirect,String B,
215,"Search Result 215: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,arXiv,String B,
216,"Search Result 216: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,Google Scholar,String B,
217,"Search Result 217: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,
218,"Search Result 218: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,IEEE Xplore,String B,
219,"Search Result 219: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,
220,"Search Result 220: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,ACM Digital Library,String B,
221,"Search Result 221: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2022,SpringerLink,String B,
222,"Search Result 222: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,SpringerLink,String B,
223,"Search Result 223: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,arXiv,String B,
224,"Search Result 224: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String B,
225,"Search Result 225: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,Google Scholar,String B,
226,"Search Result 226: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,ScienceDirect,String B,
227,"Search Result 227: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,arXiv,String B,
228,"Search Result 228: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,IEEE Xplore,String B,
