id,Title,Authors,Year,Venue,Search Query,v1_decision,v1_reason,v2_decision,v2_reason
11,Identiﬁcation of Potentially Reusable Subroutines in Suboptimally Structured Automated Test Scripts,M Filipský,2018,search.proquest.com,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
12,Strategies to Ensure Software Quality in Existing Java Applications,O Patlak,2023,pub.hcw.ac.at,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC3 - Dung lượng ngắn (<4 trang) hoặc abstract
13,Delta execution for efficient state-space exploration of object-oriented programs,"M d'Amorim, S Lauterburg, D Marinov - Proceedings of the 2007 …, 2007",2026,dl.acm.org,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
14,Formal modelling and analysis of broadcasting embedded control systems,D Kendall,2001,theses.ncl.ac.uk,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2001),,
15,Search-based fairness testing for regression-based machine learning systems,"A Perera, A Aleti, C Tantithamthavorn… - Empirical Software …, 2022",2026,Springer,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC3 - Dung lượng ngắn (<4 trang) hoặc abstract
16,Deliverable: D3.,CS Date,2026,itea4.org,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
17,"OASIcs, Volume 1, WCET'05, Complete Volume","R Wilhelm - 5th International Workshop on Worst …, 2005",2026,dagstuhl.sunsite.rwth-aachen.de,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
18,Agent systems verification: systematic literature review and mapping,"NA Bakar, A Selamat - Applied Intelligence, 2018",2026,Springer,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
19,Model-based Testing of Dynamic Component Systems DISSERTATION zur Erlangung des akademischen Grades doctor rerum naturalium (Dr. rer. nat.) im Fach …,DIFHS Haschemi,2026,edoc.hu-berlin.de,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
20,Extrinsic and intrinsic food product attributes in consumer and sensory research: literature review and quantification of the findings,"C Symmank - Management Review Quarterly, 2018",2026,search.proquest.com,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
21,Evaluation strategies for datalog-based points-to analysis,"M Feliu, C Joubert, F Tarin - Electronic Communications of the EASST, 2010",2026,eceasst.org,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
22,Formalizing and evaluating requirements of perception systems for automated vehicles using spatio-temporal perception logic,"M Hekmatnejad, B Hoxha… - … Journal of Robotics …, 2024",2026,journals.sagepub.com,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC3 - Dung lượng ngắn (<4 trang) hoặc abstract
23,[TRÍCH DẪN] A TESTING TOOL FOR VAADIN APPLICATIONS,D ROGOZIN,2015,Tampere University,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
24,Quantitative Verification and Synthesis of Resilient Networks,MK Schou,2023,vbn.aau.dk,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
25,ASD,A Gallagher,2026,ark-raa.s3.eu-west-1.amazonaws …,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
26,"Buku Ajar Rekayasa Perangkat Lunak: Prinsip, Praktik, dan Teknologi Modern","AB TRISNAWAN, M HASANUDIN, T HANDAYANI…",2025,repositorihadla.com,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
27,Using datalog and boolean equation systems for program analysis,"M Alpuente, MA Feliú, C Joubert… - International Workshop on …, 2008",2026,Springer,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
28,Industrial experiences with runtime verification of financial transaction systems: lessons learnt and standing challenges,"C Colombo, GJ Pace - Lectures on Runtime Verification: Introductory and …, 2018",2026,Springer,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
29,Datalog-based program analysis with BES and RWL,"M Alpuente, MA Feliú, C Joubert… - International Datalog 2.0 …, 2010",2026,Springer,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
30,Nutrient Content and Organoleptic Qualities of “Brukina” Prepared with Corn Agglomerates and “Brukina” Prepared with Millet Agglomerates,"PM Saeed, G Eshun, KC Madah… - Current Journal of …, 2025",2026,researchgate.net,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
31,Organisation von GUI-Testvideos aus verhaltensgetriebener Entwicklung zur Gewinnung von Stakeholder-Feedback.,"J Shi, J Mönnich, J Klünder, K Schneider - Software Engineering, 2025",2026,dl.gi.de,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
32,[TRÍCH DẪN] D4. 3 Final report on inspection methods and prototype vulnerability recognition tools,"GET FRAUNH, MI LiU, S Per Håkon Meland, F Raiteri",2026,Citeseer,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
33,Empowering Graduate Students' Service Delivery by Using an Agile Chatbot: A Conceptual Framework,"S Sakulwichitsintu - … Conference on Knowledge Science, Engineering and …, 2022",2026,Springer,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
34,Оптимізація сценаріїв для автоматизованого тестування,"АВ Бєглова - Кваліфікаційні магістерські роботи, 2026",2026,jqmth.donnu.edu.ua,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
35,Datalog-Based Program Analysis,"C Joubert, A Villanueva - … , Datalog 2010, Oxford, UK, March 16 …, 2011",2026,books.google.com,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
36,Applying Information Flow Tracking to the Development Cycle,"T Lie, P Ellingsen",2026,personales.upv.es,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
37,Static identification of injection attacks in Java,"F Spoto, E Burato, MD Ernst, P Ferrara… - ACM Transactions on …, 2019",2026,dl.acm.org,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
38,PROCESSING AND VALUE ADDITION TO JACK FRUIT (Artocarpus heterophyllus) SEED,S SUCHARITHA,2026,krishikosh.egranth.ac.in,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
39,Application of green tea extract to biscuit cream,"MN Dang - Danang University ofTechnology. Vietnam. SPISE, 2009",2026,utdallas.edu,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
40,Quality characteristics of a functional beverage developed from Moringa oleifera and Aloe vera,MR Thobakgale,2020,search.proquest.com,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
41,Evaluation of string constraint solvers using dynamic symbolic execution,S Kausler,2014,scholarworks.boisestate.edu,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2014),,
42,Proteomic and Quality Analysis of UV-C and Thermal Treated Cut Chokanan Mango (Mangifera Indica L.) and Josephine Pineapple (Ananas Comosus L. MERR.),DS George,2016,search.proquest.com,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2016),,
43,The meat science perspective of spirulina (Arthrospira platensis) and black soldier fly larvae (Hermetia illucens) as alternative protein feeds in broiler and swine …,BA Altmann,2020,ediss.uni-goettingen.de,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
44,Proteomic and quality analysis of uv-c and thermal treated cut chokanan mango (mangifera indica l.) and josephine pineapple (ananas comosus l. merr.)/Dominic …,G Dominic Soloman,2016,knova.um.edu.my,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
45,Avaliação de tecnologias de processamento térmico na qualidade de sucos de frutas utilizando ferramentas de metabolômica,"M Utpott, E Rodrigues",2024,lume.ufrgs.br,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
46,The effect of surface treatments and modified atmosphere packaging (MAP) on the quality of fresh cut sliced Anjou pears,R Siddiq,2010,search.proquest.com,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2010),,
47,Genetic diversity and core SNP marker development for dragon fruit (Selenicereus spp.) germplasm identification and breeding,"J Li, M Lin, Y Liu, Q Sun",2026,researchsquare.com,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
48,Multi-spherical composite-overwrapped cryogenic fuel tanks for hypersonic aircrafts,"I Tapeinos - … Engineering PhD Thesis, Delft University of …, 2019",2026,repository.tudelft.nl,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
49,Dehydrated fruits and vegetables using low temperature drying technologies and their application in functional beverages: A review,"Y Huang, M Zhang, AS Mujumdar, Z Luo… - Drying …, 2023",2026,Taylor & Francis,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
50,"Proceedings of the Caribbean Workshop on Traditional and Potential Fruit Tree Crop Development, St. Georges, Grenada, 9-14 November, 1980",AM Pinchinat,1981,books.google.com,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 1981),,
51,[TRÍCH DẪN] Website: www. bbn-burundi. org,"BBN et Contrôle, BBN de la Qualité",2026,Citeseer,StringB,EXCLUDE,EC2 - không tải được full-text (citation only),,
52,Chemical and Sensory investigations of Some commercial and Home-made products,"TM Galal, SA Farrag, RF Moftah - SVU-International Journal of …, 2020",2026,svu.journals.ekb.eg,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
53,China Semiconductor Technology International Conference 2010 (CSTIC 2010),"H Wu, Q Lin, C Claeys, D Huang, Y Shi, Y Kuo…",2010,books.google.com,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2010),,
54,"Windows 7: in Unternehmensnetzen mit Service Pack 1, IPv4, IPv6",M Grotegut,2011,books.google.com,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2011),,
55,Food and Applied Bioscience Journal,"N Salee, S Naruenartwongsakul, W Chaiyana… - Effect of freezing under …",2026,li01.tci-thaijo.org,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
56,DEVELOPMENT OF EFFICIENT MICROBIAL INOCULANTS FOR THE PRODUCTION OF LOW ALCOHOLIC BEVERAGE FROM TOMATO,BS BHARATHI,2019,krishikosh.egranth.ac.in,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
57,Test automation in video game development: Literature review and Sound testing implementation,M Riola,2023,webthesis.biblio.polito.it,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
58,Simpson's forensic medicine,"J Payne-James, RM Jones",2019,api.taylorfrancis.com,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
59,STANDARDIZATION OF FREEZING TECHNIQUE OF MANGO (Mangifera indica L.) SLICES CV. ALPHONSO,CA Ashok,2012,krishikosh.egranth.ac.in,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2012),,
60,[TRÍCH DẪN] COLLEGE OF BASIC AND APPLIED SCIENCES,"CA ACHEAMPONG, INPFOF LEGON",2026,Google Scholar,StringB,EXCLUDE,EC2 - không tải được full-text (citation only),,
61,Increasing test coverage by automating bdd tests in proofs of concepts (pocs) using llm,"SRR Santos, RES Fernandes, MCB Santos… - Proceedings of the XXIII …, 2024",2026,dl.acm.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
62,Comparative analysis of large language model tools for automated test data generation from bdd,"I Mendoza, F Silva Filho, G Medeiros, A Paes… - Simpósio Brasileiro de …, 2024",2026,sol.sbc.org.br,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
63,A Comparative Study of LLMs for Gherkin Generation,"H Fernandes, M Perkusich, D Albuquerque… - Simpósio Brasileiro de …, 2025",2026,sol.sbc.org.br,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
64,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"S Karpurapu, S Myneni, U Nettur, LS Gajja… - IEEE …, 2024",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
65,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid - European Conference on Software …, 2025",2026,Springer,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
66,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria… - 2025 IEEE/ACM …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
67,Automated Test Generation Using LLM Based on BDD: A Comparative Study,"SRR dos Santos, LFC dos Santos, MVS Silva…",2026,scitepress.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
68,Behaviour Driven Development Scenario Generation with Large Language Models,"A Rathnayake, M Shahin, G Abaei - arXiv preprint arXiv:2603.04729, 2026",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
69,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"SB Patel, S Nigam, S Mahale - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
70,An Experiment with Focus on Security Through Large-Language Models Using Behavior-Driven Development,"S Santos, T Pimentel, M Silva, L Santos, F Rocha…",2025,preprints.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
71,Agentic AI for Behavior-Driven Development Testing Using Large Language Models.,"C Paduraru, M Zavelca, A Stefanescu - ICAART (2), 2025",2026,researchgate.net,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
72,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"LI Matveeva, V Kunštár, K Jelemenská… - 2025 5th International …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
73,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,"J Liu, C Huang, Z Guan, W Lei, Y Deng - arXiv preprint arXiv:2510.14509, 2025",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
74,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,N Tesfalidet,2025,diva-portal.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
75,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"SRR dos Santos, MVS Silva, MCB dos Santos…",2026,scitepress.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
76,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL INTELLIGENCE,K Dhir,2026,researchgate.net,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
77,[TRÍCH DẪN] Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"SK Tiwari - Frontiers in Emerging Computer Science and …, 2025",2026,Google Scholar,StringA,EXCLUDE,EC2 - không tải được full-text (citation only),,
78,Guidelines for the adoption of behavior-driven development (BDD): an approach with design science research,SRR Santos,2025,ri.ufs.br,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
79,THESIS/THÈSE,M GALLOY,2026,pure.unamur.be,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
80,"Selfbehave, generating a synthetic behaviour-driven development dataset using self-instruct","M Galloy, M Balfroid, B Vanderose… - … on Software Testing …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
81,Exploring behavior-driven development for code generation,"Y Liang, C Gan, R Ying, Z Cui - International Conference on Intelligent …, 2025",2026,Springer,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
82,From bugs to benefits: Improving user stories by leveraging crowd knowledge with cruise-ac,"S Schwedt, T Ströder - arXiv preprint arXiv:2501.15181, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
83,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"PL Fonseca, B Lima, JP Faria - arXiv preprint arXiv:2510.18861, 2025",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
84,Prompt-Based Automation of Agile Requirements Documentation: Design for Limited-Infrastructure Environment,"R Kruk, N Zhukovska - Моделювання, керування та …, 2025",2026,mcitjournal.org.ua,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
85,Exploring Behavior-Driven Development,"Y Liang, C Gan, R Ying, Z Cui - … ICIC 2025, Ningbo, China, July 26 …, 2025",2026,books.google.com,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
86,Private GPTs for LLM-driven testing in software development and machine learning,"J Jagielski, C Rojas, M Abel - arXiv preprint arXiv:2506.06509, 2025",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
87,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,"J Jagielski, C Rojas, M Abel - 2025 2nd International …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
88,First experiments on automated execution of gherkin test specifications with collaborating llm agents,"S Bergsmann, A Schmidt, S Fischer… - Proceedings of the 15th …, 2024",2026,dl.acm.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
89,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments.,"FA Almeyda Alania… - International …, 2025",2026,search.ebscohost.com,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
90,Think Like an Engineer: A Neuro-Symbolic Collaboration Agent for Generative Software Requirements Elicitation and Self-Review,"S Zhang, Z Xing, J Chen, D Zhao, Z Zhu… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
91,From law to Gherkin: A human-centred quasi-experiment on the quality of LLM-generated behavioural specifications from food-safety regulations,"S Hassani, M Sabetzadeh, D Amyot - Information and Software Technology, 2026",2026,Elsevier,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
92,Benchmarking AI-Facilitated UI Test-Script Generation: A Reproducible Evaluation Framework,"A Poth, O Rrjolli, H Wang - European Conference on Software Process …, 2025",2026,Springer,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
93,Augmenting software quality assurance with AI and automation using PyTest-BDD,"X Zhao, H Wang, JQ Ding, Z Hu, Q Tian… - Automated Software …, 2026",2026,Springer,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
94,SELF-INSTRUCT,"M Galloy, M Balfroid, B Vanderose, X Devroey",2026,xdevroey.be,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Include,"Đọc full-text, đủ tiêu chí IC1-IC5"
95,Geração automática de autômatos finitos a partir de especificações de desenvolvimento orientado por comportamento.,JP LIMA FILHO,2025,dspace.sti.ufcg.edu.br,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
96,Can llms generate user stories and assess their quality?,"G Quattrocchi, L Pasquale, P Spoletini… - IEEE Transactions on …, 2026",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC4 - không tập trung vào test generation tự động từ user story/BDD
97,Use of chatgpt as an assistant in the end-to-end test script generation for android apps,"B García, M Leotta, F Ricca, J Whitehead - Proceedings of the 15th ACM …, 2024",2026,dl.acm.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
98,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"D Hoffmann, SR Ammana, AJ Dsouza… - 2025 IEEE …, 2025",2026,ieeexplore.ieee.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
99,Automated derivation of uml sequence diagrams from user stories: Unleashing the power of generative ai vs. a rule-based approach,"M Jahan, MM Hassan, R Golpayegani… - Proceedings of the …, 2024",2026,dl.acm.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
100,Empowering agile-based generative software development through human-ai teamwork,"S Zhang, Z Xing, R Guo, F Xu, L Chen… - ACM Transactions on …, 2025",2026,dl.acm.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
101,LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering,"S Feng, B Chen, BH Meyer, G Mussbacher - arXiv preprint arXiv …, 2026",2026,arxiv.org,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
102,Towards Integrating Behavior-Driven Development in Mobile Development: An Experience Report,"Q Hao, R Liu - Proceedings of the 56th ACM Technical Symposium on …, 2025",2026,dl.acm.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
103,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,"L Rutledge, K van der Kruk - … on Business Modeling and Software Design, 2025",2026,Springer,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
104,Spec-Driven Development: From Code to Contract in the Age of AI Coding Assistants,"DB Piskala - arXiv preprint arXiv:2602.00180, 2026",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
105,An Aggregated Dataset of Agile User Stories and Use Case Taxonomy for AI-Driven Research.,"A Alhaizaey, M Al-Mashari - International Journal of …, 2025",2026,search.ebscohost.com,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
106,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"JG Santos, RSP Maciel - … Brasileiro de Engenharia de Software (SBES …, 2024",2026,sol.sbc.org.br,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
107,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges","MP Trong, NT Son, VT Giang, BH Viet, LN Hai… - PeerJ Computer …, 2026",2026,peerj.com,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
108,Leveraging text generation for enhanced user story quality,CA dos Santos,2025,constellation.uqac.ca,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
109,Improving Software Quality Framework Using Artificial Intelligence Platforms,"SM Pendyala - AI Frameworks and Tools for Software Development, 2025",2026,igi-global.com,StringA,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,IC5 - Thiếu thực nghiệm đối chiếu định lượng
110,Exploring large language models for requirements on string values,"AA Babikian, B Chen… - … RElevant Requirements …, 2025",2026,ieeexplore.ieee.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
111,Um experimento comparativo da eficácia de diferentes LLM na geração de cenários Gherkin.,HNF SOUSA,2025,dspace.sti.ufcg.edu.br,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
112,Ai-generated test scripts for web e2e testing with chatgpt and copilot: A preliminary study,"M Leotta, HZ Yousaf, F Ricca, B Garcia - Proceedings of the 28th …, 2024",2026,dl.acm.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
113,GUIDE: A Framework for Improving Functional Software Test Descriptions with Language Models,"M Ronzon, T Roger, Z Miklos… - Proceedings of the 8th …, 2025",2026,aclanthology.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
114,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024,erepo.uef.fi,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
115,GenAI-based test case generation and execution in SDV platform,"D Zyberaj, L Mazur, N Petrovic, P Verma… - arXiv preprint arXiv …, 2025",2026,arxiv.org,StringA,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
